track_id,track_name,artist_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,data_lancamento,total_playlists,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,quartil_streams,classificacao_streams,quartil_bpm,classificacao_bpm,quartil_danceability,classificacao_danceability,quartil_valence,classificacao_valence,quartil_energy,classificacao_energy,quartil_acousticness,classificacao_acousticness,quartil_instrumentalness,classificacao_instrumentalness,quartil_liveness,classificacao_liveness,quartil_speechiness,quartil_total_playlists,classificacao_speechiness,classificacao_total_playlists
7762851,Savior,"Kendrick Lamar, Sam Dew, Baby Keem",3,2291,0,86176890,2022-05-13,2308,9,0,8,0,123,G#,Major,61,66,71,53,0,32,46,1,baixo,3,medio,2,medio,3,medio,3,medio,4,alto,3,medio,4,alto,4,2,alto,medio
4576591,MOJABI GHOST,"Tainy, Bad Bunny",2,859,40,61245289,2023-06-29,935,35,109,41,14,122,F#,Minor,81,74,71,14,0,56,4,1,baixo,3,medio,4,alto,4,alto,3,medio,2,medio,3,medio,4,alto,2,2,medio,medio
8756692,Mu,"Steve Aoki, Tini, La Joaqui",3,658,6,120972253,2023-01-12,744,33,7,53,2,90,A#,Minor,68,83,71,3,0,31,8,1,baixo,1,baixo,2,medio,4,alto,3,medio,1,baixo,3,medio,4,alto,3,1,medio,baixo
7366228,Columbia,Quevedo,1,714,43,58149378,2023-07-07,769,25,89,30,13,100,F,Major,67,26,71,37,0,11,4,1,baixo,2,medio,2,medio,1,baixo,3,medio,3,medio,3,medio,2,medio,1,1,baixo,baixo
4928987,New Jeans,NewJeans,1,77,35,29562220,2023-07-07,89,8,166,4,4,134,E,Minor,81,53,72,51,0,12,5,1,baixo,3,medio,4,alto,3,medio,3,medio,4,alto,3,medio,2,medio,2,1,medio,baixo
6953068,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,182,8,54225632,2023-05-22,186,3,88,1,0,110,G,Minor,76,96,72,32,0,9,4,1,baixo,2,medio,3,medio,4,alto,3,medio,3,medio,3,medio,1,baixo,2,1,medio,baixo
7624098,S91,Karol G,1,525,41,16011326,2023-07-14,598,34,115,39,6,128,Ausente,Minor,86,42,72,59,0,9,19,1,baixo,3,medio,4,alto,2,medio,3,medio,4,alto,3,medio,1,baixo,4,1,alto,baixo
5350195,"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixars Turning Red), Topher Ngo, Grayson Vill",6,918,0,120847157,2022-02-25,982,34,39,30,0,105,A,Minor,91,73,72,13,0,9,15,1,baixo,2,medio,4,alto,4,alto,3,medio,2,medio,3,medio,1,baixo,4,2,alto,medio
4487095,Overdrive,Post Malone,1,410,36,14780425,2023-07-14,477,36,32,31,1,140,C#,Major,56,48,73,0,0,35,4,1,baixo,3,medio,1,baixo,2,medio,3,medio,1,baixo,2,medio,4,alto,1,1,baixo,baixo
2489568,"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",4,3113,0,123473120,2022-07-15,3291,54,6,124,1,126,A,Major,81,90,73,28,0,29,4,1,baixo,3,medio,4,alto,4,alto,3,medio,3,medio,3,medio,4,alto,2,3,medio,medio
